category_scope,detail_clean,detail_grouped,shopping_type,expense_type_override,recurrence_override,note
,fort_santiago,entertainment,,,,ported_from_old_notebook
,freezer_rent,housing_utilities,,,one_off,ported_from_old_notebook
,friend_food,restaurants,,,,ported_from_old_notebook
,frugt_market,groceries,,,,ported_from_old_notebook
,fruit,groceries,,,,ported_from_old_notebook
,fruits,groceries,,,,ported_from_old_notebook
,gadgets,shopping,gadgets_accessories,capital,one_off,ported_from_old_notebook
,gas,housing_utilities,,,,ported_from_old_notebook
,gasoline,transport,,,,ported_from_old_notebook
,gcash_fee,fees,,,,ported_from_old_notebook
,gcash_til_ivy,donations,,,,ported_from_old_notebook
,gift_bag,shopping,,capital,one_off,ported_from_old_notebook
,gift_marcus,shopping,gifts,capital,one_off,ported_from_old_notebook
,gloves,construction,,,,ported_from_old_notebook
,gravel,construction,,,,ported_from_old_notebook
,greenwich,restaurants,,,,ported_from_old_notebook
,gym,subscriptions,,,,ported_from_old_notebook
,halohalo,restaurants,,,,ported_from_old_notebook
,hm_clothing,shopping,clothing,capital,one_off,ported_from_old_notebook
,hm_ivy,shopping,clothing,capital,one_off,ported_from_old_notebook
,hm_marcus,shopping,clothing,capital,one_off,ported_from_old_notebook
,home_wifi__powerbank,shopping,gadgets_accessories,capital,one_off,ported_from_old_notebook
,honey,groceries,,,,ported_from_old_notebook
,hård_spænde,shopping,clothing,capital,one_off,ported_from_old_notebook
,ice,groceries,,,,ported_from_old_notebook
,icecream,snacks_drinks,,,,ported_from_old_notebook
,id_pictures,shopping,household,capital,one_off,ported_from_old_notebook
,iherb,drugstore,personal_care,,,ported_from_old_notebook
,inasal,restaurants,,,,ported_from_old_notebook
,insurance_shenguen,fees,,,one_off,ported_from_old_notebook
,irene_laundry,family,,,,ported_from_old_notebook
,ivy_underbukser,shopping,clothing,capital,one_off,ported_from_old_notebook
,jakke_ivy,shopping,clothing,capital,one_off,ported_from_old_notebook
,jeans_ivy,shopping,clothing,capital,one_off,ported_from_old_notebook
,jollibee,restaurants,,,,ported_from_old_notebook
,kager,snacks_drinks,,,,ported_from_old_notebook
,kaptains_diner,restaurants,,,,ported_from_old_notebook
,kfc,restaurants,,,,ported_from_old_notebook
,klippe_hår,shopping,personal_care,,,ported_from_old_notebook
,klippe_hårdt,shopping,personal_care,,,ported_from_old_notebook
,kuffert,shopping,household,capital,one_off,ported_from_old_notebook
,leafroof_abel,construction,,,,ported_from_old_notebook
,levis_tøj,shopping,clothing,capital,one_off,ported_from_old_notebook
,levis_tøj_ivy,shopping,clothing,capital,one_off,ported_from_old_notebook
,liempo,groceries,,,,ported_from_old_notebook
,listerine,drugstore,,,,ported_from_old_notebook
,load_dito_sim,mobile_data,,,,ported_from_old_notebook
,load_tnt_sim,mobile_data,,,,ported_from_old_notebook
,mango,groceries,,,,ported_from_old_notebook
,market,groceries,,,,ported_from_old_notebook
,market_fruit,groceries,,,,ported_from_old_notebook
,masks,drugstore,,,,ported_from_old_notebook
,mcbeth_ivy,shopping,clothing,capital,one_off,ported_from_old_notebook
,mcdonalds,restaurants,,,,ported_from_old_notebook
,mcdonalds_caffe,snacks_drinks,,,,ported_from_old_notebook
,medical_expences,healthcare,,,one_off,ported_from_old_notebook
,merchandising,construction,,,,ported_from_old_notebook
,merchandising_taytay,construction,,,,ported_from_old_notebook
,milkpawder,groceries,,,,ported_from_old_notebook
,miniso,shopping,personal_care,,,ported_from_old_notebook
,mirror__1l_bernice,construction,,,,ported_from_old_notebook
,mister_donut,snacks_drinks,,,,ported_from_old_notebook
,molder,construction,,,,ported_from_old_notebook
,mr_diy,shopping,household,capital,one_off,ported_from_old_notebook
,museum,entertainment,,,,ported_from_old_notebook
,nails,construction,,,,ported_from_old_notebook
,nails_emmalisa,shopping,personal_care,,,ported_from_old_notebook
,nails_ivy,shopping,personal_care,capital,one_off,ported_from_old_notebook
,napkin,shopping,household,,,ported_from_old_notebook
,nccc_supermarket,groceries,,,,ported_from_old_notebook
,netflix,subscriptions,,,,ported_from_old_notebook
,oatmeal,groceries,,,,ported_from_old_notebook
,orbkey,shopping,jewelry,capital,one_off,ported_from_old_notebook
,pedros_silog,restaurants,,,,ported_from_old_notebook
,phebe_load,mobile_data,,,,ported_from_old_notebook
,phone,shopping,gadgets_accessories,capital,one_off,ported_from_old_notebook
,phone_warranty,subscriptions,,,,ported_from_old_notebook
,pictures,shopping,household,capital,one_off,ported_from_old_notebook
,pigfood,pet_food,,,,ported_from_old_notebook
,pineapple,groceries,,,,ported_from_old_notebook
,piso_wifi,mobile_data,,,,ported_from_old_notebook
,plaster,drugstore,,,,ported_from_old_notebook
,plywood,construction,,,,ported_from_old_notebook
,popcorn,snacks_drinks,,,,ported_from_old_notebook
,popeyes,restaurants,,,,ported_from_old_notebook
,pork,groceries,,,,ported_from_old_notebook
,prøvelsesattest,fees,,,one_off,ported_from_old_notebook
,ramen,restaurants,,,,ported_from_old_notebook
,rebars,construction,,,,ported_from_old_notebook
,rebars__plywood,construction,,,,ported_from_old_notebook
,rejuvenating_set,shopping,personal_care,capital,one_off,ported_from_old_notebook
,restaurant,restaurants,,,,ported_from_old_notebook
,restaurant_chillis,restaurants,,,,ported_from_old_notebook
,restaurant_puertoprincesa,restaurants,,,,ported_from_old_notebook
,restaurant_taytay,restaurants,,,,ported_from_old_notebook
,ribshack,restaurants,,,,ported_from_old_notebook
,rice,groceries,,,,ported_from_old_notebook
,ring_ivy,shopping,jewelry,capital,one_off,ported_from_old_notebook
,robinson_supermarket,groceries,,,,ported_from_old_notebook
,saigosan,restaurants,,,,ported_from_old_notebook
,sand,construction,,,,ported_from_old_notebook
,saomai_ivy,groceries,,,,ported_from_old_notebook
,sardines,groceries,,,,ported_from_old_notebook
,scarf_ivy,shopping,clothing,capital,one_off,ported_from_old_notebook
,sd_kort_256gb,shopping,gadgets_accessories,capital,one_off,ported_from_old_notebook
,seattles_best,restaurants,,,,ported_from_old_notebook
,security_glasses,shopping,household,capital,one_off,ported_from_old_notebook
,shakeys_pizza,restaurants,,,,ported_from_old_notebook
,shaver,shopping,gadgets,capital,one_off,ported_from_old_notebook
,shawarma,restaurants,,,,ported_from_old_notebook
,shoe_repair,shopping,clothing,,,ported_from_old_notebook
,shoes_ivy,shopping,clothing,capital,one_off,ported_from_old_notebook
,shooting_range,entertainment,,,,ported_from_old_notebook
,shopee,shopping,household,,,ported_from_old_notebook
,shopee_antenna_cable,shopping,gadgets_accessories,capital,one_off,ported_from_old_notebook
,shopee_books,shopping,books,capital,one_off,ported_from_old_notebook
,shopee_dresses,shopping,clothing,capital,one_off,ported_from_old_notebook
,shopee_electric_cable,construction,,,,ported_from_old_notebook
,shopee_fans,shopping,gadgets_accessories,capital,one_off,ported_from_old_notebook
,shopee_gadgets,shopping,gadgets_accessories,capital,one_off,ported_from_old_notebook
,shopee_gas_stove,construction,,,,ported_from_old_notebook
,shopee_kitchenware,shopping,household,capital,one_off,ported_from_old_notebook
,shopee_milk,groceries,,,,ported_from_old_notebook
,shopee_nails,shopping,personal_care,,,ported_from_old_notebook
,shopee_router,shopping,gadgets_accessories,capital,one_off,ported_from_old_notebook
,shopee_shaver,shopping,gadgets_accessories,capital,one_off,ported_from_old_notebook
,shopee_supermarket,groceries,,,,ported_from_old_notebook
,shopping,shopping,shopping,,,ported_from_old_notebook
,shorts_hoodie,shopping,clothing,capital,one_off,ported_from_old_notebook
,shovel__gas_11kg,construction,,,,ported_from_old_notebook
,shrimp,groceries,,,,ported_from_old_notebook
,sinigang,groceries,,,,ported_from_old_notebook
,slippers,shopping,clothing,capital,one_off,ported_from_old_notebook
,slippers_baby,shopping,clothing,capital,one_off,ported_from_old_notebook
,slippers_ivy,shopping,clothing,capital,one_off,ported_from_old_notebook
,sm_supermarket,groceries,,,,ported_from_old_notebook
,sm_søde,snacks_drinks,,,,ported_from_old_notebook
,smykker_sølv,shopping,jewelry,capital,one_off,ported_from_old_notebook
,soap,shopping,household,,,ported_from_old_notebook
,souvenir,shopping,gifts,,,ported_from_old_notebook
,speaker,shopping,gadgets_accessories,capital,one_off,ported_from_old_notebook
,squash,groceries,,,,ported_from_old_notebook
,store_taytay,shopping,household,,,ported_from_old_notebook
,street_food,restaurants,,,,ported_from_old_notebook
,street_store,groceries,,,,ported_from_old_notebook
,street_store_baryo,groceries,,,,ported_from_old_notebook
,subway,restaurants,,,,ported_from_old_notebook
,sugar,groceries,,,,ported_from_old_notebook
,sugar_drink,snacks_drinks,,,,ported_from_old_notebook
,sugar_drinks,snacks_drinks,,,,ported_from_old_notebook
,supermarket,groceries,,,,ported_from_old_notebook
,supermarket_taytay,groceries,,,,ported_from_old_notebook
,tablet_ivy,shopping,gadgets_accessories,capital,one_off,ported_from_old_notebook
,taco_bell,restaurants,,,,ported_from_old_notebook
,taho,groceries,,,,ported_from_old_notebook
,tatay_sander,construction,,,,ported_from_old_notebook
,tempered_glass,shopping,gadgets_accessories,capital,one_off,ported_from_old_notebook
,toilet,fees,,,,ported_from_old_notebook
,tokyotokyo,restaurants,,,,ported_from_old_notebook
,tricicle,transport,,,,ported_from_old_notebook
,tshirt_robinson,shopping,clothing,capital,one_off,ported_from_old_notebook
,underbukser_ivy,shopping,clothing,capital,one_off,ported_from_old_notebook
,unitop,shopping,,,,ported_from_old_notebook
,usb,shopping,gadgets_accessories,capital,one_off,ported_from_old_notebook
,vand,groceries,,,,ported_from_old_notebook
,vegetables,groceries,,,,ported_from_old_notebook
,visa,subscriptions,,,,ported_from_old_notebook
,visa_appointment,fees,,,one_off,ported_from_old_notebook
,visa_print_shop,subscriptions,,,one_off,ported_from_old_notebook
,water,groceries,,,,ported_from_old_notebook
,wetwipes,shopping,household,,,ported_from_old_notebook
,withdraw_fee,fees,,,,ported_from_old_notebook
,worker,construction,,,,ported_from_old_notebook
,worker_abel,construction,,,,ported_from_old_notebook
,worker_jaime,construction,,,,ported_from_old_notebook
,worker_ludito,construction,,,,ported_from_old_notebook
,worker_pido,construction,,,,ported_from_old_notebook
,workers,construction,,,,ported_from_old_notebook
food,unitop,groceries,,,,Unitop food rows are groceries
other_things,unitop,shopping,household,,,Unitop non-food rows are shopping
