category_scope,detail_clean,detail_grouped,shopping_type,expense_type_override,recurrence_override,note
,2_bher_ivy,shopping,clothing,capital,one_off,ported_from_old_notebook
,2sugar_drinks,snacks_drinks,,,,ported_from_old_notebook
,400kg_cement,construction,,,,ported_from_old_notebook
,adapters,shopping,gadgets_accessories,capital,one_off,ported_from_old_notebook
,adidas_sko,shopping,clothing,capital,one_off,ported_from_old_notebook
,alambre,construction,,,,ported_from_old_notebook
,alcohol,snacks_drinks,,,,ported_from_old_notebook
,aloevera,drugstore,,,,ported_from_old_notebook
,amazon_horusx,shopping,household,capital,one_off,ported_from_old_notebook
,antenna,shopping,gadgets_accessories,capital,one_off,ported_from_old_notebook
,aquaflask,shopping,household,capital,one_off,ported_from_old_notebook
,arcade,entertainment,,,,ported_from_old_notebook
,bag_ivy,shopping,clothing,capital,one_off,ported_from_old_notebook
,bagoong,groceries,,,,ported_from_old_notebook
,bakery,snacks_drinks,,,,ported_from_old_notebook
,banana,groceries,,,,ported_from_old_notebook
,bananas,groceries,,,,ported_from_old_notebook
,barangay_residency_certificate,fees,,,one_off,ported_from_old_notebook
,belt_ivy,shopping,clothing,capital,one_off,ported_from_old_notebook
,benzin,transport,,,,ported_from_old_notebook
,bible_book,shopping,books,capital,one_off,ported_from_old_notebook
,bike,transport,,,,ported_from_old_notebook
,blade,shopping,personal_care,,,ported_from_old_notebook
,book_store,shopping,books,capital,one_off,ported_from_old_notebook
,bookstore,shopping,books,capital,one_off,ported_from_old_notebook
,boxers_marcus,shopping,clothing,capital,one_off,ported_from_old_notebook
,buffet,restaurants,,,,ported_from_old_notebook
,bukser_ivy,shopping,clothing,capital,one_off,ported_from_old_notebook
,burger_king,restaurants,,,,ported_from_old_notebook
,cashew_nuts,groceries,,,,ported_from_old_notebook
,cassava,groceries,,,,ported_from_old_notebook
,cassava_cake,snacks_drinks,,,,ported_from_old_notebook
,cement,construction,,,,ported_from_old_notebook
,chairs,construction,,,,ported_from_old_notebook
,chicken,groceries,,,,ported_from_old_notebook
,chicken_food,pet_food,,,,ported_from_old_notebook
,chocolate,snacks_drinks,,,,ported_from_old_notebook
,chowking,restaurants,,,,ported_from_old_notebook
,church,donations,,,one_off,ported_from_old_notebook
,cinema,entertainment,,,,ported_from_old_notebook
,clipclaps__kuglepenne,shopping,clothing,capital,one_off,ported_from_old_notebook
,clothes,shopping,clothing,capital,one_off,ported_from_old_notebook
,cocacola,snacks_drinks,,,,ported_from_old_notebook
,coco_lumber,construction,,,,ported_from_old_notebook
,coconut,groceries,,,,ported_from_old_notebook
,coconut_oil,groceries,,,,ported_from_old_notebook
,cocos,groceries,,,,ported_from_old_notebook
,coffee,snacks_drinks,,,,ported_from_old_notebook
,coffee_shop,snacks_drinks,,,,ported_from_old_notebook
,coffee_shop_taytay,snacks_drinks,,,,ported_from_old_notebook
,criminal_record_ivy,fees,,,one_off,ported_from_old_notebook
,crossroad,snacks_drinks,,,,ported_from_old_notebook
,curiositystream,entertainment,,,,ported_from_old_notebook
,dentist_ivy,healthcare,,,one_off,ported_from_old_notebook
,dentist_marcusivy,healthcare,,,one_off,ported_from_old_notebook
,dermatologi_clinic,healthcare,,,one_off,ported_from_old_notebook
,dessert,snacks_drinks,,,,ported_from_old_notebook
,detergent_powder,shopping,household,,,ported_from_old_notebook
,donation_barangay,donations,,,one_off,ported_from_old_notebook
,drugman_supermarket,groceries,,,,ported_from_old_notebook
,drugstore,drugstore,,,,ported_from_old_notebook
,eggplant,groceries,,,,ported_from_old_notebook
,eggplantpineapple,groceries,,,,ported_from_old_notebook
,eggs,groceries,,,,ported_from_old_notebook
,electricity,housing_utilities,,,,ported_from_old_notebook
,fan_ivy,shopping,gadgets_accessories,capital,one_off,ported_from_old_notebook
,fish,groceries,,,,ported_from_old_notebook
,fish_crab,groceries,,,,ported_from_old_notebook
,fish_tuna,groceries,,,,ported_from_old_notebook
,fiske_bid,pet_food,,,,ported_from_old_notebook
,flashlight,shopping,gadgets_accessories,capital,one_off,ported_from_old_notebook
,food,groceries,,,,ported_from_old_notebook
,foodpanda,restaurants,,,,ported_from_old_notebook
